LocationID	Customer ID	City	State	Country	PostalCode	Region
1	TB-11280	Constantine	Constantine	Algeria		Africa
2	JH-15985	Wagga Wagga	New South Wales	Australia		Oceania
3	AT-735	Budapest	Budapest	Hungary		EMEA
4	EM-14140	Stockholm	Stockholm	Sweden		North
5	PO-18865	Dhaka	Dhaka	Bangladesh		Central Asia
6	LC-17050	Mission Viejo	California	United States	92691	West
7	DK-3150	Luanda	Luanda	Angola		Africa
8	SP-20650	Yingcheng	Hubei	China		North Asia
9	DK-13150	Chongqing	Chongqing	China		North Asia
10	DH-13075	San Miguelito	Panama	Panama		Central
11	PO-8850	Mashhad	Razavi Khorasan	Iran		EMEA
12	GH-14485	La Rochelle	Poitou-Charentes	France		Central
13	RR-19315	Parma	Emilia-Romagna	Italy		South
14	IM-15055	Halle	North Rhine-Westphalia	Germany		Central
15	TP-11415	Toronto	Ontario	Canada		Canada
16	TS-21370	Farnborough	England	United Kingdom		North
17	RD-9900	Vinnytsya	Vinnytsya	Ukraine		EMEA
18	TB-21400	Berlin	Berlin	Germany		Central
19	VF-21715	Elmhurst	Illinois	United States	60126	Central
20	KH-16360	Adelaide	South Australia	Australia		Oceania
21	DB-13060	Seattle	Washington	United States	98115	West
22	GW-14605	Houston	Texas	United States	77036	Central
23	SC-20380	El Paso	Texas	United States	79907	Central
24	BS-1800	Kherson	Kherson	Ukraine		EMEA
25	CM-12235	Colmar	Alsace	France		Central
26	RF-19345	Handa	Aichi	Japan		North Asia
27	LH-17155	Palembang	Sumatera Selatan	Indonesia		Southeast Asia
28	LO-17170	Berlin	Berlin	Germany		Central
29	EL-13735	Bochum	North Rhine-Westphalia	Germany		Central
30	BD-11620	Melbourne	Victoria	Australia		Oceania
31	JF-15490	Rome	Lazio	Italy		South
32	EH-3765	Kano	Kano	Nigeria		Africa
33	HR-14770	New York City	New York	United States	10035	East
34	AS-10045	Rome	Lazio	Italy		South
35	BP-11230	Treviso	Veneto	Italy		South
36	RP-19270	Aew?l-li	Jeju	South Korea		North Asia
37	JB-15400	Lima	Lima (city)	Peru		South
38	PA-19060	Manila	National Capital	Philippines		Southeast Asia
39	VP-21760	Arraiján	Panama	Panama		Central
40	LS-17245	Bogotá	Bogota	Colombia		South
41	KM-16720	Vallejo	California	United States	94591	West
42	KH-16330	Revere	Massachusetts	United States	2151	East
43	AB-10060	Denpasar	Bali	Indonesia		Southeast Asia
44	MH-17620	Cork	Cork	Ireland		North
45	DW-13480	Lakeville	Minnesota	United States	55044	Central
46	LT-17110	Little Rock	Arkansas	United States	72209	South
47	MC-18130	Warrington	England	United Kingdom		North
48	YS-21880	Matagalpa	Matagalpa	Nicaragua		Central
49	MM-18280	Zapopan	Jalisco	Mexico		North
50	NZ-18565	Joinville	Santa Catarina	Brazil		South
51	MF-18250	Lyon	Rhône-Alpes	France		Central
52	WB-11850	Istanbul	Istanbul	Turkey		EMEA
