Row ID,accm_txn_complete_time
42433,2022-05-09 18:48:11
22253,2022-05-11 05:50:20
48883,2022-05-09 07:45:37
11731,2022-05-10 14:01:28
22255,2022-05-10 23:24:53
22254,2022-05-10 02:22:04
21613,2022-05-10 12:57:13
34662,2022-05-09 20:05:07
44508,2022-05-09 14:32:06
23688,2022-05-10 13:20:29
25293,2022-05-09 15:24:13
8483,2022-05-10 22:40:55
41445,2022-05-10 21:27:57
16727,2022-05-09 01:20:20
21615,2022-05-09 08:38:39
8484,2022-05-10 20:48:54
19796,2022-05-10 16:37:33
21614,2022-05-11 17:09:34
21616,2022-05-10 08:30:32
16726,2022-05-09 04:03:58
14413,2022-05-09 00:12:25
14414,2022-05-10 00:36:18
8482,2022-05-10 12:09:57
44228,2022-05-10 17:03:55
13130,2022-05-10 09:40:37
48599,2022-05-11 17:01:12
15218,2022-05-09 14:31:48
37844,2022-05-09 02:57:19
44230,2022-05-10 23:14:01
13131,2022-05-09 18:15:08
48593,2022-05-10 13:33:42
21917,2022-05-10 15:22:46
31454,2022-05-09 14:01:24
48595,2022-05-10 18:16:41
39607,2022-05-10 18:02:23
13132,2022-05-09 17:47:05
39245,2022-05-09 22:30:30
44502,2022-05-09 08:13:20
44503,2022-05-10 17:05:11
44229,2022-05-09 13:04:45
14536,2022-05-11 02:20:23
48597,2022-05-09 01:07:06
21443,2022-05-10 19:43:47
26925,2022-05-10 01:41:33
26926,2022-05-09 17:59:33
11106,2022-05-11 22:48:21
30176,2022-05-10 18:54:25
48591,2022-05-09 07:29:24
15219,2022-05-10 05:31:10
39606,2022-05-10 22:29:15
44501,2022-05-09 01:48:14
15220,2022-05-11 09:04:48
39247,2022-05-09 16:43:31
39246,2022-05-09 03:37:27
48594,2022-05-11 09:21:56
44227,2022-05-10 21:58:26
12530,2022-05-11 02:55:34
21919,2022-05-10 18:50:26
30177,2022-05-10 22:33:35
48598,2022-05-10 15:15:07
13133,2022-05-09 06:04:33
12529,2022-05-09 09:46:41
12531,2022-05-10 11:27:38
44225,2022-05-11 09:51:00
44226,2022-05-10 15:12:58
48592,2022-05-10 02:19:14
39244,2022-05-10 03:30:03
37845,2022-05-11 15:11:17
44500,2022-05-09 03:58:38
48590,2022-05-09 03:40:53
21918,2022-05-10 04:13:38
22736,2022-05-09 20:51:04
15299,2022-05-09 04:06:52
48596,2022-05-11 08:23:53
50129,2022-05-09 07:09:27
37010,2022-05-09 22:44:36
15978,2022-05-11 14:09:31
11954,2022-05-11 21:21:47
22377,2022-05-09 09:46:58
11956,2022-05-11 21:50:15
592,2022-05-11 03:34:36
22029,2022-05-11 23:16:09
3683,2022-05-09 09:05:31
11955,2022-05-11 09:20:36
594,2022-05-10 07:39:59
2464,2022-05-10 09:08:36
596,2022-05-10 16:01:26
591,2022-05-11 09:01:43
593,2022-05-10 12:33:49
595,2022-05-09 11:14:12
